"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0","0","0","0","0.0011077107298342","0.05295778752223","0.0912464578539942","0.0803801948057076","0.150293385284094","0.848938160749692","0.369304088904274","0.165577313867916","0.397211509737496","0.753080333594725","0.9900287864527","0.358014810525618","0.837599205292049","0.712517766968993","1.17283654331747","1.36472957131342","0.0428531855396154","0.0605506667750751","0.0643216796346804","0.966489874251081","0.900308495922519","1.3571709678737","1.12085788041502","0.440040341282896","1.06487842842405","2.37991767910812","1.76738115267843","2.07154863918695","1.62027809517219","2.99082860055182","4.41743877954864","5.21348673074889","6.04302319219362","10.1582850384625","4.56829675317726","5.93963281445596","7.4054660061353","5.2241887598135","5.0378363636726","3.93931564718298","1.24085650569643","0.777143670400413","1.46781572379972","2.25558769566111","1.93164921186798","1.53977762073319","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0177889919988865","0.0294247030075833","0.0331009512386763","0.0554377144704201","0.18246430638044","0.393058059485199","0.570591379239737","0.653526571800843","0.612869653053416","1.27240044798532","1.41675389979945","1.36909951486152","","","","","","","","","","","","","","","","","","","","","0.0291356728024153","0.0267120778901793","0.0254147218828367","0.0259768818928915","0.022140005381477","0.0146988999912581","0.0161231798040348","0.00545067856044446","0.00497761886116638","0.00661426211198222","0.110270669167496","0.00410755319151222","0.0031665614833681","0.00111945624402763","0.000866608364478627","0.00130603569918735","0.00197574528472456","0.00167109951918794","0.00103117587542889","",
"Africa Western and Central","AFW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0.213023573972474","0","1.03800871118407","17.9383798551581","12.9139076394807","12.2008474960126","13.708839685542","11.0777981424645","26.6926758473364","16.2110795106419","3.11624309592346","1.52267479985198","3.84520190948181","7.8371973590778","8.30355259479932","2.94302152591456","6.21127790031043","4.99474798722328","11.3812644520392","12.9949628248148","7.64370111433218","9.04827003835831","9.81403204002761","8.78331364767969","8.36680955202404","9.89288542809422","8.41764950080051","3.12194115871638","6.21441698852904","13.3230223810688","8.36793763190701","6.97003605658288","7.14395605704074","10.949339518786","15.5703194863189","14.6250798108886","12.9510031550342","15.0515643269342","7.91781775499786","11.2486923485325","14.5320564174635","12.734839326974","9.68817052625228","7.76776616797534","2.87896061364085","2.53888024505642","5.14190749200951","7.37202740858842","6.45397111031974","4.20000315920836","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.0073721224432","9.43262897027512","3.92252213634512","9.74131603906636","15.734915223452","14.4850147135758","6.42192197651489","16.3739898921974","14.7846859556492","22.4219889566942","27.9241666015155","","","","47.86820933909","39.1752567313564","43.8046440381056","37.2505482927044","15.938706379818","37.8155164610669","53.8986180739924","36.9233468860144","26.562057663468","22.8318047011559","39.3829000695589","45.2326627707852","43.0057241328181","45.7808492125907","55.4068347866039","30.2568054853209","39.7197022341775","40.6503517071496","35.857494279928","30.4285550052016","23.3606701803309","10.3717932668495","10.3257244195752","15.8198584409145","26.3342151109984","24.9749864733623","24.028004023435","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.1022707410627","13.1350368534285","4.86064548160219","7.98968304790724","4.9239348010532","7.71499501297864","7.54614648758971","4.10399664589503","4.28718044897959","2.3379212927435","1.32290264473362","1.05465026619962","1.05208530564382","1.13332793274145","0.175060609388419","0.441297041178152","0.945515900078417","0.650152758744909","0.664633813702542","0.644499134825707","0.682970501343325","0.926542289634311","1.11615117898719","0.839438715710261","0.916274529133656","0.459667978017704","1.35749037173149","2.73818404690857","3.00841935415488","2.64966927221584","2.77670697386026","1.33724245019524","1.15651054126866","1.21097051663579","1.58530866740542","1.57701690620244","1.05395231261002","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","14.6650528993392","14.5122964790608","16.8639919980597","21.8159738809058","48.4465970571587","39.0661811891887","39.5012767025401","37.8005263171111","34.0680118088934","57.53017081183","51.675342414066","38.575406885193","24.8528516740557","24.3128140971178","23.7603088747675","21.0685230529792","13.4029092193758","17.4986124507524","16.5320080600333","23.115129730048","23.1928154245332","18.3998112387027","20.329896747877","19.5189196914709","17.6746960167855","17.798745356941","20.3191850697176","17.594699475818","11.9399121364606","15.9287521635534","24.9480010821027","19.9867984049008","19.211737316939","21.5820985959462","25.8694791719532","32.2078955898178","32.4496762337085","29.3193622378946","33.2306636148838","20.5821197465871","24.4658910471216","33.7565329968343","32.8861326492953","30.0606434177094","26.6183077725391","15.5102158290301","12.9094748685646","16.6531315434124","21.7815149826016","19.245782379311","13.3210781243459","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","41.5160912545055","40.7113024833076","34.9667140222972","34.0628722547347","59.9593870060262","46.4954907707826","31.3413526789756","22.3677773264873","22.9176653886304","22.9702923518282","23.7725379934328","15.8692859206739","23.7165563003761","20.007987745388","29.1744271841375","36.2284223673001","24.402053679207","23.0960922853496","20.2646513881154","17.5932797845225","17.4905975684643","19.9078297953828","17.0449608765316","11.2204137423564","14.1616680806793","21.1765199925057","16.2658963224982","14.6419318905921","17.1396375489601","20.0699198647776","24.7973909393097","25.0652055610383","22.8583310793082","27.3762663802624","17.9750446610416","21.657178613952","28.7481053388271","28.437924156185","25.7524001777065","23.0462765979378","13.1211520235133","10.8086465006808","13.0168407157339","16.582761616989","16.3455046170226","11.5121617702487","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.268367181657603","0.394582757690264","0.44389730399401","0.468589415623693","1.72699963186166","2.18194896152411","2.44555984380105","2.06442721927339","2.29993902093329","5.10034888972502","5.95674218235372","4.92919623294912","2.86026673528258","3.0335123809204","3.76320136000323","3.12126283610169","1.0374996145039","1.63387686751651","1.12409651428645","2.80975784491193","2.22901585555559","0.94242246093207","0.963251595352748","0.961970786254243","0.887253539204983","1.06578732168656","1.420050955492","1.24782856601663","0.639158899601474","1.1279515699477","1.9901249087916","1.61158232395276","4.70804086056989","4.1638536168747","4.05848322896993","4.83494891799297","4.81858691558118","3.91684715442337","4.14061401360476","2.130875457751","2.3340135789079","2.68972942600211","2.42550450976188","2.21688688639824","2.05810159467174","0.71171653042454","0.53679526782434","0.723462625237328","1.39460030263589","1.5096732902657","1.1177564069069","",
